Company,Grad,Early,Mid,Late,num_Jobs,,company,Category,Compensation,helper
sap,117571.4286,134545.4545,161245.614,236333.3333,202,,Cisco,Mid,200688.9764,35
Visa,109315.7895,140250,169456.1404,227370.3704,200,,Cisco,Late,273629.9694,36
Dell Technologies,105157.8947,141146.3415,164671.875,219947.9167,196,,Uber,Grad,177602.7397,37
Snap,202766.6667,334694.4444,466615.3846,713189.1892,193,,Uber,Early,257430.5556,38
Yahoo,158269.2308,184920.6349,227114.7541,313218.75,179,,Uber,Mid,352296.875,39
Tesla,165375,171088.6076,234048.3871,301161.2903,176,,Uber,Late,473455.3991,40
Yelp,158225,205482.3529,270381.8182,277625,166,,Capital One,Grad,109606.0606,41
Zillow,167000,207868.8525,266197.3684,301266.6667,160,,Capital One,Early,132078.4884,42
Square,161562.5,262352.9412,338549.2958,421068.9655,157,,Capital One,Mid,161551.3514,43
ServiceNow,121166.6667,181700,236921.0526,310113.2075,156,,Capital One,Late,225637.5839,44
Splunk,178545.4545,228314.8148,297508.4746,397037.037,151,,IBM,Grad,107782.6087,45
Indeed,116916.6667,184538.4615,242253.9683,319946.4286,149,,IBM,Early,124553.1136,46
Stripe,224650,302404.2553,442637.931,488186.0465,147,,IBM,Mid,149608.6957,47
Comcast,102066.6667,124585.3659,157760,233816.6667,143,,IBM,Late,204171.4286,48
T-Mobile,99961.53846,146846.1538,163068.1818,198321.4286,141,,LinkedIn,Grad,202573.0337,49
Pinterest,217950,320655.7377,429897.9592,578545.4545,133,,LinkedIn,Early,265581.6733,50
DoorDash,186933.3333,266943.3962,348500,413095.2381,127,,LinkedIn,Mid,342367.893,51
Godaddy,124823.5294,155307.6923,176244.4444,260285.7143,123,,LinkedIn,Late,466938.5475,52
ByteDance,190800,295403.5088,424877.193,388928.5714,122,,VMware,Grad,154880,53
Boeing,83133.33333,95829.26829,121333.3333,164230.7692,121,,VMware,Early,189974.359,54
Broadcom,181333.3333,180235.2941,255675,404025.974,121,,VMware,Mid,221951.5419,55
General Motors,75089.28571,98181.81818,124173.913,180285.7143,121,,VMware,Late,301358.7444,56
Walmart,128100,143659.0909,215625,331488.3721,121,,Qualcomm,Grad,137971.831,57
American Express,93518.51852,117860,149459.4595,185050,119,,Qualcomm,Early,148692.8105,58
Atlassian,167633.3333,201351.3514,233930.2326,282838.7097,118,,Qualcomm,Mid,194580.6452,59
Cruise,211636.3636,300566.6667,353400,482266.6667,116,,Qualcomm,Late,269057.1429,60
Qualtrics,133555.5556,199018.8679,238906.25,312850,116,,Bloomberg,Grad,167598.0769,61
Lockheed Martin,85791.66667,101836.7347,125548.3871,167080,115,,Bloomberg,Early,204498.6842,62
Box,149000,232562.5,297090.9091,354673.0769,111,,Bloomberg,Mid,247218.75,63
Spotify,136571.4286,188909.0909,223098.3607,263500,111,,Bloomberg,Late,303268.8172,64
Autodesk,142000,165833.3333,198564.1026,267816.3265,108,,Intuit,Grad,141086.2069,65
Ernst and Young,80950,121621.6216,157363.6364,207760,104,,Intuit,Early,193546.0993,66
Northrop Grumman,80043.47826,97938.77551,123428.5714,167500,103,,Intuit,Mid,242482.2695,67
Twilio,140181.8182,245833.3333,294769.2308,387333.3333,101,,Intuit,Late,302806.2016,68
Samsung,131333.3333,165400,203288.8889,236977.7778,99,,JPMorgan Chase,Grad,95653.06122,69
Nutanix,153769.2308,183027.7778,248363.6364,299360,98,,JPMorgan Chase,Early,128615.3846,70
AMD,117833.3333,141707.3171,195150,253633.3333,97,,JPMorgan Chase,Mid,153470.5882,71
Cerner,70928.57143,79163.63636,97781.25,131000,96,,JPMorgan Chase,Late,212127.451,72
Disney,125000,141193.5484,173600,251200,95,,PayPal,Grad,138324.3243,73
USAA,76600,99805.55556,128022.2222,157190.4762,94,,PayPal,Early,180257.3529,74
Coinbase,179842.1053,262846.1538,368702.1277,474000,92,,PayPal,Mid,242478.8732,75
Instacart,185000,317823.5294,359731.7073,558764.7059,92,,PayPal,Late,318899.1597,76
Epic Systems,103900,126590.9091,176040,191416.6667,91,,Twitter,Grad,189795.4545,77
Booz Allen Hamilton,86461.53846,106833.3333,135500,157461.5385,88,,Twitter,Early,271725.3521,78
target,88350,116677.4194,164884.6154,180263.1579,86,,Twitter,Mid,356487.3418,79
DocuSign,142888.8889,208884.6154,267658.5366,310130.4348,84,,Twitter,Late,436536.0825,80
Morgan Stanley,107000,145769.2308,174857.1429,213076.9231,83,,Nvidia,Grad,180157.8947,81
Tableau Software,208000,285409.0909,315586.2069,334296.2963,81,,Nvidia,Early,208743.8017,82
Slalom,92000,118714.2857,158461.5385,184037.037,80,,Nvidia,Mid,275351.3514,83
HubSpot,134100,164513.5135,209740.7407,220200,79,,Nvidia,Late,352050.5051,84
Robinhood,200277.7778,317833.3333,409964.2857,441000,78,,Goldman Sachs,Grad,126950,85
WeWork,106000,199225.8065,241214.2857,307954.5455,78,,Goldman Sachs,Early,158821.8391,86
Verizon,129000,144827.5862,173464.2857,222600,77,,Goldman Sachs,Mid,212806.8182,87
Groupon,147875,149777.7778,201088.2353,256523.8095,76,,Goldman Sachs,Late,306516.129,88
Palo Alto Networks,176555.5556,226000,273437.5,318935.4839,76,,eBay,Grad,148840,89
PwC,79500,135928.5714,170578.9474,251444.4444,76,,eBay,Early,184773.5849,90
Nike,93750,145142.8571,164827.5862,218413.7931,75,,eBay,Mid,230238.806,91
Nordstrom,128375,145071.4286,156800,210550,75,,eBay,Late,303581.9672,92
NetApp,121000,150444.4444,170181.8182,230566.6667,74,,Wayfair,Grad,111954.5455,93
Epam Systems,78000,132333.3333,136717.9487,138309.5238,71,,Wayfair,Early,155484.375,94
Two Sigma,215789.4737,268633.3333,361809.5238,395272.7273,71,,Wayfair,Mid,221975.6098,95
Raytheon,79150,106258.0645,134625,145666.6667,70,,Wayfair,Late,337481.4815,96
AT&T,100200,117148.1481,153722.2222,197055.5556,69,,Deloitte,Grad,84040,97
Compass,199500,210212.1212,263027.027,353866.6667,69,,Deloitte,Early,110306.1224,98
McKinsey,126400,170680,236939.3939,302909.0909,69,,Deloitte,Mid,153047.2441,99
Slack,189000,290611.1111,394375,494423.0769,69,,Deloitte,Late,192236.8421,100
MathWorks,110600,128037.037,157535.7143,177333.3333,66,,Lyft,Grad,230888.8889,101
Citi,99000,116944.4444,148888.8889,188560,65,,Lyft,Early,315685.1852,102
Wells Fargo,119250,122333.3333,160904.7619,211920,65,,Lyft,Mid,385098.1595,103
ARM,137375,144586.2069,180148.1481,242636.3636,63,,Lyft,Late,475084.3373,104
Citrix Systems Inc,131214.2857,147705.8824,173850,281500,63,,Adobe,Grad,185520,105
KPMG,82153.84615,101380.9524,151727.2727,216066.6667,63,,Adobe,Early,207418.1818,106
BlackRock,112454.5455,147148.1481,176785.7143,209466.6667,62,,Adobe,Mid,239884.8921,107
Mastercard,110142.8571,136040,167350,210625,62,,Adobe,Late,304192.3077,108
Etsy,147000,190031.25,248458.3333,278928.5714,60,,Walmart Labs,Grad,130387.0968,109
HPE,112400,137055.5556,167000,219392.8571,60,,Walmart Labs,Early,195444.4444,110
Roblox,216615.3846,275529.4118,369318.1818,613619.0476,59,,Walmart Labs,Mid,243276.4228,111
Squarespace,163000,173238.0952,188281.25,235000,59,,Walmart Labs,Late,303309.7345,112
Bank of America,87500,114782.6087,133900,195684.2105,58,,Expedia,Grad,135645.8333,113
Bank of America Merrill Lynch,110625,122470.5882,160300,187909.0909,56,,Expedia,Early,156588.2353,114
Charles Schwab,84333.33333,139062.5,141391.3043,153105.2632,56,,Expedia,Mid,182295.9184,115
Grubhub,112500,154181.8182,183689.6552,289000,56,,Expedia,Late,233340.6593,116
Red Hat,109800,126866.6667,192294.1176,212111.1111,56,,Accenture,Grad,83000,117
Hulu,222500,210050,220878.7879,267375,55,,Accenture,Early,119761.3636,118
Blizzard Entertainment,84500,113062.5,130782.6087,170913.0435,54,,Accenture,Mid,163362.6374,119
Roku,115333.3333,233181.8182,312500,387344.8276,54,,Accenture,Late,178891.5663,120
Rubrik,180700,229571.4286,356176.4706,430666.6667,54,,Netflix,Grad,356000,121
Rally Health,120000,156947.3684,194285.7143,232000,53,,Netflix,Early,409500,122
Synopsys,128000,149705.8824,155952.381,236350,53,,Netflix,Mid,461405.4054,123
Waymo,236300,284240,363523.8095,440000,51,,Netflix,Late,522795.6204,124
average,141580.5206,184232.123,233008.1976,298325.4752,,,Dropbox,Grad,188705.8824,125
,,,,,,,Dropbox,Early,264584.4156,126
,,,,,,,Dropbox,Mid,338579.8319,127
,,,,,,,Dropbox,Late,438505.7471,128
,,,,,,,Workday,Grad,139142.8571,129
,,,,,,,Workday,Early,182594.0594,130
,,,,,,,Workday,Mid,249903.6145,131
,,,,,,,Workday,Late,298314.2857,132
,,,,,,,Airbnb,Grad,235952.381,133
,,,,,,,Airbnb,Early,307942.5287,134
,,,,,,,Airbnb,Mid,386902.6549,135
,,,,,,,Airbnb,Late,484178.5714,136
,,,,,,,sap,Grad,117571.4286,137
,,,,,,,sap,Early,134545.4545,138
,,,,,,,sap,Mid,161245.614,139
,,,,,,,sap,Late,236333.3333,140
,,,,,,,Visa,Grad,109315.7895,141
,,,,,,,Visa,Early,140250,142
,,,,,,,Visa,Mid,169456.1404,143
,,,,,,,Visa,Late,227370.3704,144
,,,,,,,Dell Technologies,Grad,105157.8947,145
,,,,,,,Dell Technologies,Early,141146.3415,146
,,,,,,,Dell Technologies,Mid,164671.875,147
,,,,,,,Dell Technologies,Late,219947.9167,148
,,,,,,,Snap,Grad,202766.6667,149
,,,,,,,Snap,Early,334694.4444,150
,,,,,,,Snap,Mid,466615.3846,151
,,,,,,,Snap,Late,713189.1892,152
,,,,,,,Yahoo,Grad,158269.2308,153
,,,,,,,Yahoo,Early,184920.6349,154
,,,,,,,Yahoo,Mid,227114.7541,155
,,,,,,,Yahoo,Late,313218.75,156
,,,,,,,Tesla,Grad,165375,157
,,,,,,,Tesla,Early,171088.6076,158
,,,,,,,Tesla,Mid,234048.3871,159
,,,,,,,Tesla,Late,301161.2903,160
,,,,,,,Yelp,Grad,158225,161
,,,,,,,Yelp,Early,205482.3529,162
,,,,,,,Yelp,Mid,270381.8182,163
,,,,,,,Yelp,Late,277625,164
,,,,,,,Zillow,Grad,167000,165
,,,,,,,Zillow,Early,207868.8525,166
,,,,,,,Zillow,Mid,266197.3684,167
,,,,,,,Zillow,Late,301266.6667,168
,,,,,,,Square,Grad,161562.5,169
,,,,,,,Square,Early,262352.9412,170
,,,,,,,Square,Mid,338549.2958,171
,,,,,,,Square,Late,421068.9655,172
,,,,,,,ServiceNow,Grad,121166.6667,173
,,,,,,,ServiceNow,Early,181700,174
,,,,,,,ServiceNow,Mid,236921.0526,175
,,,,,,,ServiceNow,Late,310113.2075,176
,,,,,,,Splunk,Grad,178545.4545,177
,,,,,,,Splunk,Early,228314.8148,178
,,,,,,,Splunk,Mid,297508.4746,179
,,,,,,,Splunk,Late,397037.037,180
,,,,,,,Indeed,Grad,116916.6667,181
,,,,,,,Indeed,Early,184538.4615,182
,,,,,,,Indeed,Mid,242253.9683,183
,,,,,,,Indeed,Late,319946.4286,184
,,,,,,,Stripe,Grad,224650,185
,,,,,,,Stripe,Early,302404.2553,186
,,,,,,,Stripe,Mid,442637.931,187
,,,,,,,Stripe,Late,488186.0465,188
,,,,,,,Comcast,Grad,102066.6667,189
,,,,,,,Comcast,Early,124585.3659,190
,,,,,,,Comcast,Mid,157760,191
,,,,,,,Comcast,Late,233816.6667,192
,,,,,,,T-Mobile,Grad,99961.53846,193
,,,,,,,T-Mobile,Early,146846.1538,194
,,,,,,,T-Mobile,Mid,163068.1818,195
,,,,,,,T-Mobile,Late,198321.4286,196
,,,,,,,Pinterest,Grad,217950,197
,,,,,,,Pinterest,Early,320655.7377,198
,,,,,,,Pinterest,Mid,429897.9592,199
,,,,,,,Pinterest,Late,578545.4545,200
,,,,,,,DoorDash,Grad,186933.3333,201
,,,,,,,DoorDash,Early,266943.3962,202
,,,,,,,DoorDash,Mid,348500,203
,,,,,,,DoorDash,Late,413095.2381,204
,,,,,,,Godaddy,Grad,124823.5294,205
,,,,,,,Godaddy,Early,155307.6923,206
,,,,,,,Godaddy,Mid,176244.4444,207
,,,,,,,Godaddy,Late,260285.7143,208
,,,,,,,ByteDance,Grad,190800,209
,,,,,,,ByteDance,Early,295403.5088,210
,,,,,,,ByteDance,Mid,424877.193,211
,,,,,,,ByteDance,Late,388928.5714,212
,,,,,,,Boeing,Grad,83133.33333,213
,,,,,,,Boeing,Early,95829.26829,214
,,,,,,,Boeing,Mid,121333.3333,215
,,,,,,,Boeing,Late,164230.7692,216
,,,,,,,Broadcom,Grad,181333.3333,217
,,,,,,,Broadcom,Early,180235.2941,218
,,,,,,,Broadcom,Mid,255675,219
,,,,,,,Broadcom,Late,404025.974,220
,,,,,,,General Motors,Grad,75089.28571,221
,,,,,,,General Motors,Early,98181.81818,222
,,,,,,,General Motors,Mid,124173.913,223
,,,,,,,General Motors,Late,180285.7143,224
,,,,,,,Walmart,Grad,128100,225
,,,,,,,Walmart,Early,143659.0909,226
,,,,,,,Walmart,Mid,215625,227
,,,,,,,Walmart,Late,331488.3721,228
,,,,,,,American Express,Grad,93518.51852,229
,,,,,,,American Express,Early,117860,230
,,,,,,,American Express,Mid,149459.4595,231
,,,,,,,American Express,Late,185050,232
,,,,,,,Atlassian,Grad,167633.3333,233
,,,,,,,Atlassian,Early,201351.3514,234
,,,,,,,Atlassian,Mid,233930.2326,235
,,,,,,,Atlassian,Late,282838.7097,236
,,,,,,,Cruise,Grad,211636.3636,237
,,,,,,,Cruise,Early,300566.6667,238
,,,,,,,Cruise,Mid,353400,239
,,,,,,,Cruise,Late,482266.6667,240
,,,,,,,Qualtrics,Grad,133555.5556,241
,,,,,,,Qualtrics,Early,199018.8679,242
,,,,,,,Qualtrics,Mid,238906.25,243
,,,,,,,Qualtrics,Late,312850,244
,,,,,,,Lockheed Martin,Grad,85791.66667,245
,,,,,,,Lockheed Martin,Early,101836.7347,246
,,,,,,,Lockheed Martin,Mid,125548.3871,247
,,,,,,,Lockheed Martin,Late,167080,248
,,,,,,,Box,Grad,149000,249
,,,,,,,Box,Early,232562.5,250
,,,,,,,Box,Mid,297090.9091,251
,,,,,,,Box,Late,354673.0769,252
,,,,,,,Spotify,Grad,136571.4286,253
,,,,,,,Spotify,Early,188909.0909,254
,,,,,,,Spotify,Mid,223098.3607,255
,,,,,,,Spotify,Late,263500,256
,,,,,,,Autodesk,Grad,142000,257
,,,,,,,Autodesk,Early,165833.3333,258
,,,,,,,Autodesk,Mid,198564.1026,259
,,,,,,,Autodesk,Late,267816.3265,260
,,,,,,,Ernst and Young,Grad,80950,261
,,,,,,,Ernst and Young,Early,121621.6216,262
,,,,,,,Ernst and Young,Mid,157363.6364,263
,,,,,,,Ernst and Young,Late,207760,264
,,,,,,,Northrop Grumman,Grad,80043.47826,265
,,,,,,,Northrop Grumman,Early,97938.77551,266
,,,,,,,Northrop Grumman,Mid,123428.5714,267
,,,,,,,Northrop Grumman,Late,167500,268
,,,,,,,Twilio,Grad,140181.8182,269
,,,,,,,Twilio,Early,245833.3333,270
,,,,,,,Twilio,Mid,294769.2308,271
,,,,,,,Twilio,Late,387333.3333,272
,,,,,,,Samsung,Grad,131333.3333,273
,,,,,,,Samsung,Early,165400,274
,,,,,,,Samsung,Mid,203288.8889,275
,,,,,,,Samsung,Late,236977.7778,276
,,,,,,,Nutanix,Grad,153769.2308,277
,,,,,,,Nutanix,Early,183027.7778,278
,,,,,,,Nutanix,Mid,248363.6364,279
,,,,,,,Nutanix,Late,299360,280
,,,,,,,AMD,Grad,117833.3333,281
,,,,,,,AMD,Early,141707.3171,282
,,,,,,,AMD,Mid,195150,283
,,,,,,,AMD,Late,253633.3333,284
,,,,,,,Cerner,Grad,70928.57143,285
,,,,,,,Cerner,Early,79163.63636,286
,,,,,,,Cerner,Mid,97781.25,287
,,,,,,,Cerner,Late,131000,288
,,,,,,,Disney,Grad,125000,289
,,,,,,,Disney,Early,141193.5484,290
,,,,,,,Disney,Mid,173600,291
,,,,,,,Disney,Late,251200,292
,,,,,,,USAA,Grad,76600,293
,,,,,,,USAA,Early,99805.55556,294
,,,,,,,USAA,Mid,128022.2222,295
,,,,,,,USAA,Late,157190.4762,296
,,,,,,,Coinbase,Grad,179842.1053,297
,,,,,,,Coinbase,Early,262846.1538,298
,,,,,,,Coinbase,Mid,368702.1277,299
,,,,,,,Coinbase,Late,474000,300
,,,,,,,Instacart,Grad,185000,301
,,,,,,,Instacart,Early,317823.5294,302
,,,,,,,Instacart,Mid,359731.7073,303
,,,,,,,Instacart,Late,558764.7059,304
,,,,,,,Epic Systems,Grad,103900,305
,,,,,,,Epic Systems,Early,126590.9091,306
,,,,,,,Epic Systems,Mid,176040,307
,,,,,,,Epic Systems,Late,191416.6667,308
,,,,,,,Booz Allen Hamilton,Grad,86461.53846,309
,,,,,,,Booz Allen Hamilton,Early,106833.3333,310
,,,,,,,Booz Allen Hamilton,Mid,135500,311
,,,,,,,Booz Allen Hamilton,Late,157461.5385,312
,,,,,,,target,Grad,88350,313
,,,,,,,target,Early,116677.4194,314
,,,,,,,target,Mid,164884.6154,315
,,,,,,,target,Late,180263.1579,316
,,,,,,,DocuSign,Grad,142888.8889,317
,,,,,,,DocuSign,Early,208884.6154,318
,,,,,,,DocuSign,Mid,267658.5366,319
,,,,,,,DocuSign,Late,310130.4348,320
,,,,,,,Morgan Stanley,Grad,107000,321
,,,,,,,Morgan Stanley,Early,145769.2308,322
,,,,,,,Morgan Stanley,Mid,174857.1429,323
,,,,,,,Morgan Stanley,Late,213076.9231,324
,,,,,,,Tableau Software,Grad,208000,325
,,,,,,,Tableau Software,Early,285409.0909,326
,,,,,,,Tableau Software,Mid,315586.2069,327
,,,,,,,Tableau Software,Late,334296.2963,328
,,,,,,,Slalom,Grad,92000,329
,,,,,,,Slalom,Early,118714.2857,330
,,,,,,,Slalom,Mid,158461.5385,331
,,,,,,,Slalom,Late,184037.037,332
,,,,,,,HubSpot,Grad,134100,333
,,,,,,,HubSpot,Early,164513.5135,334
,,,,,,,HubSpot,Mid,209740.7407,335
,,,,,,,HubSpot,Late,220200,336
,,,,,,,Robinhood,Grad,200277.7778,337
,,,,,,,Robinhood,Early,317833.3333,338
,,,,,,,Robinhood,Mid,409964.2857,339
,,,,,,,Robinhood,Late,441000,340
,,,,,,,WeWork,Grad,106000,341
,,,,,,,WeWork,Early,199225.8065,342
,,,,,,,WeWork,Mid,241214.2857,343
,,,,,,,WeWork,Late,307954.5455,344
,,,,,,,Verizon,Grad,129000,345
,,,,,,,Verizon,Early,144827.5862,346
,,,,,,,Verizon,Mid,173464.2857,347
,,,,,,,Verizon,Late,222600,348
,,,,,,,Groupon,Grad,147875,349
,,,,,,,Groupon,Early,149777.7778,350
,,,,,,,Groupon,Mid,201088.2353,351
,,,,,,,Groupon,Late,256523.8095,352
,,,,,,,Palo Alto Networks,Grad,176555.5556,353
,,,,,,,Palo Alto Networks,Early,226000,354
,,,,,,,Palo Alto Networks,Mid,273437.5,355
,,,,,,,Palo Alto Networks,Late,318935.4839,356
,,,,,,,PwC,Grad,79500,357
,,,,,,,PwC,Early,135928.5714,358
,,,,,,,PwC,Mid,170578.9474,359
,,,,,,,PwC,Late,251444.4444,360
,,,,,,,Nike,Grad,93750,361
,,,,,,,Nike,Early,145142.8571,362
,,,,,,,Nike,Mid,164827.5862,363
,,,,,,,Nike,Late,218413.7931,364
,,,,,,,Nordstrom,Grad,128375,365
,,,,,,,Nordstrom,Early,145071.4286,366
,,,,,,,Nordstrom,Mid,156800,367
,,,,,,,Nordstrom,Late,210550,368
,,,,,,,NetApp,Grad,121000,369
,,,,,,,NetApp,Early,150444.4444,370
,,,,,,,NetApp,Mid,170181.8182,371
,,,,,,,NetApp,Late,230566.6667,372
,,,,,,,Epam Systems,Grad,78000,373
,,,,,,,Epam Systems,Early,132333.3333,374
,,,,,,,Epam Systems,Mid,136717.9487,375
,,,,,,,Epam Systems,Late,138309.5238,376
,,,,,,,Two Sigma,Grad,215789.4737,377
,,,,,,,Two Sigma,Early,268633.3333,378
,,,,,,,Two Sigma,Mid,361809.5238,379
,,,,,,,Two Sigma,Late,395272.7273,380
,,,,,,,Raytheon,Grad,79150,381
,,,,,,,Raytheon,Early,106258.0645,382
,,,,,,,Raytheon,Mid,134625,383
,,,,,,,Raytheon,Late,145666.6667,384
,,,,,,,AT&T,Grad,100200,385
,,,,,,,AT&T,Early,117148.1481,386
,,,,,,,AT&T,Mid,153722.2222,387
,,,,,,,AT&T,Late,197055.5556,388
,,,,,,,Compass,Grad,199500,389
,,,,,,,Compass,Early,210212.1212,390
,,,,,,,Compass,Mid,263027.027,391
,,,,,,,Compass,Late,353866.6667,392
,,,,,,,McKinsey,Grad,126400,393
,,,,,,,McKinsey,Early,170680,394
,,,,,,,McKinsey,Mid,236939.3939,395
,,,,,,,McKinsey,Late,302909.0909,396
,,,,,,,Slack,Grad,189000,397
,,,,,,,Slack,Early,290611.1111,398
,,,,,,,Slack,Mid,394375,399
,,,,,,,Slack,Late,494423.0769,400
,,,,,,,MathWorks,Grad,110600,401
,,,,,,,MathWorks,Early,128037.037,402
,,,,,,,MathWorks,Mid,157535.7143,403
,,,,,,,MathWorks,Late,177333.3333,404
,,,,,,,Citi,Grad,99000,405
,,,,,,,Citi,Early,116944.4444,406
,,,,,,,Citi,Mid,148888.8889,407
,,,,,,,Citi,Late,188560,408
,,,,,,,Wells Fargo,Grad,119250,409
,,,,,,,Wells Fargo,Early,122333.3333,410
,,,,,,,Wells Fargo,Mid,160904.7619,411
,,,,,,,Wells Fargo,Late,211920,412
,,,,,,,ARM,Grad,137375,413
,,,,,,,ARM,Early,144586.2069,414
,,,,,,,ARM,Mid,180148.1481,415
,,,,,,,ARM,Late,242636.3636,416
,,,,,,,Citrix Systems Inc,Grad,131214.2857,417
,,,,,,,Citrix Systems Inc,Early,147705.8824,418
,,,,,,,Citrix Systems Inc,Mid,173850,419
,,,,,,,Citrix Systems Inc,Late,281500,420
,,,,,,,KPMG,Grad,82153.84615,421
,,,,,,,KPMG,Early,101380.9524,422
,,,,,,,KPMG,Mid,151727.2727,423
,,,,,,,KPMG,Late,216066.6667,424
,,,,,,,BlackRock,Grad,112454.5455,425
,,,,,,,BlackRock,Early,147148.1481,426
,,,,,,,BlackRock,Mid,176785.7143,427
,,,,,,,BlackRock,Late,209466.6667,428
,,,,,,,Mastercard,Grad,110142.8571,429
,,,,,,,Mastercard,Early,136040,430
,,,,,,,Mastercard,Mid,167350,431
,,,,,,,Mastercard,Late,210625,432
,,,,,,,Etsy,Grad,147000,433
,,,,,,,Etsy,Early,190031.25,434
,,,,,,,Etsy,Mid,248458.3333,435
,,,,,,,Etsy,Late,278928.5714,436
,,,,,,,HPE,Grad,112400,437
,,,,,,,HPE,Early,137055.5556,438
,,,,,,,HPE,Mid,167000,439
,,,,,,,HPE,Late,219392.8571,440
,,,,,,,Roblox,Grad,216615.3846,441
,,,,,,,Roblox,Early,275529.4118,442
,,,,,,,Roblox,Mid,369318.1818,443
,,,,,,,Roblox,Late,613619.0476,444
,,,,,,,Squarespace,Grad,163000,445
,,,,,,,Squarespace,Early,173238.0952,446
,,,,,,,Squarespace,Mid,188281.25,447
,,,,,,,Squarespace,Late,235000,448
,,,,,,,Bank of America,Grad,87500,449
,,,,,,,Bank of America,Early,114782.6087,450
,,,,,,,Bank of America,Mid,133900,451
,,,,,,,Bank of America,Late,195684.2105,452
,,,,,,,Bank of America Merrill Lynch,Grad,110625,453
,,,,,,,Bank of America Merrill Lynch,Early,122470.5882,454
,,,,,,,Bank of America Merrill Lynch,Mid,160300,455
,,,,,,,Bank of America Merrill Lynch,Late,187909.0909,456
,,,,,,,Charles Schwab,Grad,84333.33333,457
,,,,,,,Charles Schwab,Early,139062.5,458
,,,,,,,Charles Schwab,Mid,141391.3043,459
,,,,,,,Charles Schwab,Late,153105.2632,460
,,,,,,,Grubhub,Grad,112500,461
,,,,,,,Grubhub,Early,154181.8182,462
,,,,,,,Grubhub,Mid,183689.6552,463
,,,,,,,Grubhub,Late,289000,464
,,,,,,,Red Hat,Grad,109800,465
,,,,,,,Red Hat,Early,126866.6667,466
,,,,,,,Red Hat,Mid,192294.1176,467
,,,,,,,Red Hat,Late,212111.1111,468
,,,,,,,Hulu,Grad,222500,469
,,,,,,,Hulu,Early,210050,470
,,,,,,,Hulu,Mid,220878.7879,471
